Día,Campaña,Coste,Impresiones,Clics,CPC medio,Avg. CPM,CTR,CPV medio,Valor conv. total
1 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,148186,6335,2308,64.2053726169844,23391.633780584056,0.3643251775848461,0,6836938.63992
2 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,142734,6453,2872,49.69846796657382,22119.01441190144,0.4450643111730978,0,11930894.279210001
3 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,142360,7836,4087,34.83239540004893,18167.432363450742,0.5215671260847371,0,16042417.66665
4 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,142417,7551,3691,38.58493633161744,18860.680704542443,0.4888094292146736,0,11983942.85075
5 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,142501,9876,4970,28.672233400402416,14429.019846091536,0.5032401782098015,0,13393423.711689997
6 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,146736,8434,4912,29.87296416938111,17398.150343846337,0.5824045529997629,0,13149762.785380004
7 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,146360,9174,5344,27.387724550898202,15953.782428602573,0.5825158055373882,0,13008732.37283
8 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,146016,10249,5258,27.770254849752757,14246.853351546491,0.5130256610401015,0,10564377.231460001
9 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,141679,9646,5048,28.066362916006337,14687.849885963093,0.5233257308729007,0,9493656.245739998
10 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,124725,8216,4738,26.324398480371464,15180.74488802337,0.5766796494644596,0,8726617.456270002
11 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,159056,10080,5695,27.929060579455662,15779.36507936508,0.5649801587301587,0,10862954.659940002
12 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,150465,9670,5420,27.761070110701105,15559.979317476733,0.5604963805584281,0,8545489.7128
13 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,143555,8840,4932,29.106853203568534,16239.25339366516,0.5579185520361991,0,6650457.7866
14 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,150601,8197,4713,31.954381497984297,18372.69732829084,0.5749664511406612,0,7469720.673340001
15 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,118735,6968,3863,30.736474242816463,17040.0401836969,0.5543915040183697,0,5975763.61094
16 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,105232,6238,3627,29.013509787703335,16869.509458159668,0.5814363578069894,0,6951839.68095
17 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,106735,6267,3551,30.057730216840326,17031.274932184457,0.5666187968725068,0,5136849.520450001
18 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,184304,9991,4432,41.584837545126355,18447.002302071865,0.44359923931538386,0,6869836.919220001
19 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,168893,8505,3701,45.63442312888409,19858.0834803057,0.43515579071134625,0,6180658.39537
20 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,221849,12181,5337,41.56810942477047,18212.708316230193,0.438141367703801,0,7758640.192819999
21 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,226149,12213,5193,43.54881571346043,18517.07197248833,0.4252026529108327,0,7842124.178350001
22 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,383517,16032,5751,66.6870109546166,23921.968562874248,0.35872005988023953,0,8607652.26354
23 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,323165,13249,4139,78.07803817347185,24391.65220016605,0.31240093591969204,0,5031032.590979999
24 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,323294,14622,4719,68.50900614536978,22110.108056353438,0.32273286828067294,0,6846694.23413
25 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,322887,14281,4745,68.04783983140148,22609.551151880118,0.3322596456830754,0,6882125.632150001
26 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,285880,14662,5560,51.41726618705036,19498.022097940255,0.37921156731687355,0,6959327.0858700005
27 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,423334,18365,6303,67.16389021101064,23051.129866594067,0.34320718758508034,0,9411563.504110001
28 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,31964,1655,543,58.865561694290975,19313.595166163144,0.32809667673716014,0,340658.82595
29 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,479872,19129,6371,75.32129963898916,25086.09963929113,0.33305452454388623,0,11673424.826389998
30 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,553162,19846,6864,80.58886946386947,27872.71994356545,0.3458631462259397,0,9255818.253670003
31 jul 2021,Metrix - Skechers - Brand - Search - Conversiones,598189,22417,7312,81.80921772428884,26684.614355176873,0.3261810233305081,0,11564116.846980002
1 ago 2021,Metrix - Skechers - Brand - Search - Conversiones,189041,8090,2430,77.79465020576131,23367.243510506796,0.3003708281829419,0,3801979.70171
2 ago 2021,Metrix - Skechers - Brand - Search - Conversiones,165676,9420,4483,36.95650234218158,17587.685774946924,0.4759023354564756,0,7475963.263970001
3 ago 2021,Metrix - Skechers - Brand - Search - Conversiones,171218,10055,4740,36.12194092827004,17028.14520139234,0.4714072600696171,0,9222564.99118
4 ago 2021,Metrix - Skechers - Brand - Search - Conversiones,170389,10398,4688,36.34577645051195,16386.708982496635,0.4508559338334295,0,7824978.157020002
5 ago 2021,Metrix - Skechers - Brand - Search - Conversiones,170969,10858,4887,34.98444853693473,15745.901639344262,0.4500828881930374,0,7194235.553129999
